Grid Position,Name,Type,Classification,System Type,System Name,Orbital Position,Star Size Rank,Planet Size Rank,Spectral Type,Evolutionary Stage,Star Special Characteristics,Size-Based Classification,Composition-Based Classification,Habitability,Planet Special Characteristics,Orbit Number,Distance from Star (AU),X,Y,Quadrant_16,Old_Name,Old_Name_Esperanto,Esperanto_Name,Meaning,Planet Classification Codes,Planet Classification Descriptions
195-307,Lumejaro,Star,F-M-F,Binary Star System,LumoUniverso,-,13.0,,Yellow-White Star,,,,,,,,,195,307,10,,LumoUniversoStelo,Lumejaro,light — domain cluster,,
338-335,Akvetujo,Star,F-F-M,Solitary Star System,AkvoKosmo,-,13.0,,Yellow-White Star,,,,,,,,,338,335,16,AkvoKosmoStelo,Akvo [338-335],Akvetujo,water — small world,,
185-174,Montegejo,Star,F-A-B,Binary Star System,MontoSistemo,-,13.0,,Blue-White Star,,,,,,,,,185,174,6,MontoSistemoStelo,Monto [185-174],Montegejo,mountain — great domain,,
318-170,Ventetujo,Star,F-O-K,Binary Star System,VentoPlanedo,-,13.0,,Blue Giant,,,,,,,,,318,170,8,VentoPlanedoStelo,Vento [318-170],Ventetujo,wind — small world,,
165-109,Astraro-Nova,Star,F-K-M,Trinary Star System,TeroSistemo,-,13.0,,Yellow-White Star,,,,,,,,,165,109,6,TeroSistemoStelo,Tero [165-109],Astraro-Nova,celestial body — new/variant,,
313-101,Astrido-Nova,Star,F-F-K,Solitary Star System,CieloKosmo,-,13.0,,Yellow-White Star,,,,,,,,,313,101,4,CieloKosmoStelo,Cielo [313-101],Astrido-Nova,celestial body — new/variant,,
361-169,Astrego-Nova,Star,F-O-F,Trinary Star System,CieloGalaksio,-,13.0,,Blue Giant,,,,,,,,,361,169,8,CieloGalaksioStelo,Cielo [361-169],Astrego-Nova,celestial body — new/variant,,
254-280,Fajreto,Star,F-M-B,Trinary Star System,FajroKosmo,-,13.0,,Blue-White Star,,,,,,,,,254,280,11,FajroKosmoStelo,Fajro,Fajreto,fire — small / minor,,
235-65,Mararo-Nova,Star,G-NS-P,Binary Star System,TeroSeaSistemo,-,12.6,,Yellow Star,Neutron Star,Pulsar,,,,,,,235,65,3,MontoSkyStelo,TeroMaro [235-65],Mararo-Nova,sea — new/variant,,
94-22,Fajrejo,Star,G-WB-W,Binary Star System,FajroStarSistemo,-,12.4,,Blue-White Star,White Dwarf,Wormhole Star,,,,,,,94,22,1,VentoStarStelo,Fajro [94-22],Fajrejo,fire — domain / sanctuary,,
225-105,Montujo-Nova,Star,G-WB-Q,Binary Star System,CieloMountainSistemo,-,12.3,,Blue-White Star,White Dwarf,Quasar,,,,,,,225,105,7,TeroWindStelo,CieloMonto [225-105],Montujo-Nova,mountain — new/variant,,
5-127,Fajrumo,Star,G-WB-P,Solitary Star System,FajroWindSistemo,-,12.1,,Blue-White Star,White Dwarf,Pulsar,,,,,,,5,127,5,NoktoMountainStelo,FajroVento [5-127],Fajrumo,fire — abstract / energy,,
42-153,Akvegaro,Star,G-RG-Q,Solitary Star System,AkvoStarSistemo,-,11.8,,Yellow Star,Red Giant,Quasar,,,,,,,42,153,5,MontoFireStelo,Akvo [42-153],Akvegaro,water — great cluster,,
175-86,Lumideto,Star,G-RG-Mg,Binary Star System,LumoSkySistemo,-,11.7,,Yellow Star,Red Giant,Magnetar,,,,,,,175,86,2,MaroFireStelo,Lumosky [175-86],Lumideto,light — minor moon,,
412-140,Lumegumo,Star,K-BH-D,Solitary Star System,CieloLightSistemo,-,11.5,,Blue-White Star,Black Hole,Dyson Star,,,,,,,412,140,8,FajroWaterStelo,CieloLumo,Lumegumo,light — great energy form,,
39-137,Astreto-Nova,Star,G-MS-D,Solitary Star System,NoktoFireSistemo,-,11.5,,Yellow Star,Main Sequence,Dyson Star,,,,,,,39,137,5,CieloMountainStelo,NoktoFire [39-137],Astreto-Nova,celestial body — new/variant,,
124-409,Lumetaro,Star,G-MS-W,Trinary Star System,LumoFireSistemo,-,11.4,,Yellow Star,Main Sequence,Wormhole Star,,,,,,,124,409,14,SteloSeaStelo,LumoFire,Lumetaro,light — small cluster,,
225-86,Astrejo-Nova,Star,K-BH-W,Binary Star System,CieloNightSistemo,-,11.4,,Blue-White Star,Black Hole,Wormhole Star,,,,,,,225,86,3,AkvoSeaStelo,CieloNokto,Astrejo-Nova,celestial body — new/variant,,
140-284,Lumegejo,Star,K-BH-Q,Solitary Star System,LumoStarSistemo,-,11.3,,Blue-White Star,Black Hole,Quasar,,,,,,,140,284,10,,LumoEarthStelo,Lumegejo,light — great domain,,
39-137,Astrumo-Nova,Star,K-BH-Mg,Solitary Star System,NoktoFireSistemo,-,11.2,,Blue-White Star,Black Hole,Magnetar,,,,,,,39,137,5,TeroMountainStelo,NoktoFire [39-137],Astrumo-Nova,celestial body — new/variant,,
208-67,Montaro-Nova,Star,K-BH-P,Binary Star System,MontoFireSistemo,-,11.1,,Blue-White Star,Black Hole,Pulsar,,,,,,,208,67,3,CieloWindStelo,MontoFire,Montaro-Nova,mountain — new/variant,,
94-22,Fajregujo,Star,K-BH-P,Trinary Star System,FajroStarSistemo,-,11.1,,Blue-White Star,Black Hole,Pulsar,,,,,,,94,22,1,TeroSeaStelo,Fajro [94-22],Fajregujo,fire — giant world,,
43-56,Ventegaro,Star,G-MS-P,Solitary Star System,NoktoWindSistemo,-,11.1,,Yellow Star,Main Sequence,Pulsar,,,,,,,43,56,1,NoktoWaterStelo,NoktoVento,Ventegaro,wind — great cluster,,
38-46,Lumujo-Nova,Star,K-NS-D,Trinary Star System,LumoMountainSistemo,-,11.0,,Orange Star,Neutron Star,Dyson Star,,,,,,,38,46,1,FajroEarthStelo,LumoMonto [38-46],Lumujo-Nova,light — new/variant,,
5-210,Lumaro-Nova,Star,K-NS-D,Solitary Star System,NoktoLightSistemo,-,11.0,,Orange Star,Neutron Star,Dyson Star,,,,,,,5,210,9,AkvoFireStelo,NoktoLumo [5-210],Lumaro-Nova,light — new/variant,,
245-3,Steleto,Star,G-F-M,Trinary Star System,SteloGalaksio,-,11.0,,Yellow-White Star,,,,,,,,,245,3,3,,SteloGalaksioStelo,Steleto,star — small / minor,,
18-294,Astregujo-Nova,Star,G-K-O,Trinary Star System,TeroPlanedo,-,11.0,,Blue Giant,,,,,,,,,18,294,9,TeroPlanedoStelo,Tero [18-294],Astregujo-Nova,celestial body — new/variant,,
288-232,Fajretujo,Star,G-A-F,Binary Star System,FajroStelo,-,11.0,,White Star,,,,,,,,,288,232,11,FajroSteloStelo,Fajro [288-232],Fajretujo,fire — small world,,
65-320,Astretujo-Nova,Star,G-F-F,Binary Star System,CieloAero,-,11.0,,Yellow-White Star,,,,,,,,,65,320,13,CieloAeroStelo,CieloAero,Astretujo-Nova,celestial body — new/variant,,
148-222,Fajregaro,Star,G-M-F,Solitary Star System,FajroOrbito,-,11.0,,Yellow-White Star,,,,,,,,,148,222,10,FajroOrbitoStelo,Fajro [148-222],Fajregaro,fire — great cluster,,
126-146,Montido-Nova,Star,G-K-M,Solitary Star System,MontoGalaksio,-,11.0,,Yellow Star,,,,,,,,,126,146,6,MontoGalaksioStelo,Monto [126-146],Montido-Nova,mountain — new/variant,,
172-106,Montego-Nova,Star,K-NS-W,Trinary Star System,SteloStarSistemo,-,10.9,,Orange Star,Neutron Star,Wormhole Star,,,,,,,172,106,6,,MontoSkyStelo,Montego-Nova,mountain — new/variant,,
225-86,Astregaro-Nova,Star,K-NS-P,Trinary Star System,CieloNightSistemo,-,10.6,,Orange Star,Neutron Star,Pulsar,,,,,,,225,86,3,MaroSkyStelo,CieloNokto [225-86],Astregaro-Nova,celestial body — new/variant,,
390-323,Fajrejaro,Star,K-WB-W,Binary Star System,FajroMountainSistemo,-,10.4,,Blue-White Star,White Dwarf,Wormhole Star,,,,,,,390,323,16,MaroSeaStelo,FajroMonto,Fajrejaro,fire — domain cluster,,
94-22,Fajrideto,Star,K-WB-Q,Binary Star System,FajroStarSistemo,-,10.3,,Blue-White Star,White Dwarf,Quasar,,,,,,,94,22,1,FajroWindStelo,Fajro [94-22],Fajrideto,fire — minor moon,,
169-271,Akvejaro,Star,K-WB-P,Solitary Star System,AkvoWaterSistemo,-,10.1,,Blue-White Star,White Dwarf,Pulsar,,,,,,,169,271,10,MontoWindStelo,Akvo [169-271],Akvejaro,water — domain cluster,,
215-167,Akvideto,Star,K-RG-D,Trinary Star System,CieloWaterSistemo,-,10.0,,Yellow Star,Red Giant,Dyson Star,,,,,,,215,167,7,SteloMountainStelo,CieloAkvo [215-167],Akvideto,water — minor moon,,
282-32,Akvegumo,Star,K-RG-Mg,Solitary Star System,AkvoLightSistemo,-,9.7,,Yellow Star,Red Giant,Magnetar,,,,,,,282,32,3,MontoMountainStelo,AkvoLumo,Akvegumo,water — great energy form,,
32-289,Astrejaro-Nova,Star,K-MS-D,Solitary Star System,TeroStarSistemo,-,9.5,,Orange Star,Main Sequence,Dyson Star,,,,,,,32,289,9,MontoEarthStelo,Tero [32-289],Astrejaro-Nova,celestial body — new/variant,,
148-28,Monteto-Nova,Star,M-BH-D,Solitary Star System,SteloLightSistemo,-,9.5,,Blue-White Star,Black Hole,Dyson Star,,,,,,,148,28,2,,MontoLightStelo,Monteto-Nova,mountain — new/variant,,
364-147,Marido-Nova,Star,M-BH-W,Binary Star System,MaroEarthSistemo,-,9.4,,Blue-White Star,Black Hole,Wormhole Star,,,,,,,364,147,8,NoktoStarStelo,MaroTero,Marido-Nova,sea — new/variant,,
119-47,Akvetaro,Star,K-MS-W,Binary Star System,AkvoMountainSistemo,-,9.4,,Orange Star,Main Sequence,Wormhole Star,,,,,,,119,47,2,VentoWaterStelo,AkvoMonto [119-47],Akvetaro,water — small cluster,,
213-150,Montejo-Nova,Star,M-BH-Q,Binary Star System,MontoMountainSistemo,-,9.3,,Blue-White Star,Black Hole,Quasar,,,,,,,213,150,7,VentoNightStelo,Monto [213-150],Montejo-Nova,mountain — new/variant,,
